Symbol,Date,Adj Close,Volume,users_holding,vix_Adj_close,Mcap,Symbol_industry,popularity
A,2018,66.11828002929687,2573137.1428571427,698.9474470457076,17.71676182857143,21468.093647619044,Health Care,not_popular
A,2019,74.33882375747439,2157035.714285714,1084.1036816558578,15.387857095238092,23629.122119841246,Health Care,not_popular
A,2020,82.52710259366198,2143666.6666666665,1354.4053312065344,31.969455877551034,25655.42557074829,Health Care,not_popular
AAL,2018,36.048765491303946,8253766.666666667,6108.612375046452,17.71676182857143,16901.94027904762,Industrials,normal
AAL,2019,30.57199682508196,6993250.396825396,9504.058974790716,15.387857095238092,13803.752485317456,Industrials,normal
AAL,2020,16.566317902130333,65682673.469387755,343541.95429492136,31.969455877551034,7308.957572789118,Industrials,normal
AAP,2018,162.84251897902715,1111163.8095238095,343.93954942400586,17.71676182857143,12122.08114571428,Consumer Discretionary,not_popular
AAP,2019,157.15161514282227,1125990.0793650793,310.42866344791287,15.387857095238092,11329.753098809526,Consumer Discretionary,not_popular
AAP,2020,129.88083399558553,1070989.1156462585,507.8592204400205,31.969455877551034,9030.381616326531,Consumer Discretionary,not_popular
AAPL,2018,49.098323422386535,153496697.14285713,185487.9232269603,17.71676182857143,976207.020761904,Information Technology,very_popular
AAPL,2019,50.89431475079249,112122788.8888889,220874.1506720658,15.387857095238092,953299.8000305558,Information Technology,very_popular
AAPL,2020,77.75682298828956,157020533.33333334,356071.7848577951,31.969455877551034,1368460.395119048,Information Technology,very_popular
ABBV,2018,79.92206355503627,6066708.571428572,13242.984143441103,17.71676182857143,137367.13591619045,Health Care,not_popular
ABBV,2019,71.36847508142866,7831258.73015873,17772.458073369613,15.387857095238092,115551.64719166668,Health Care,not_popular
ABBV,2020,85.5892883352682,10690994.557823129,33731.66119725946,31.969455877551034,141099.62502176865,Health Care,not_popular
ABC,2018,83.05371682303293,1360994.2857142857,255.44208379784473,17.71676182857143,18622.74877523809,Health Care,not_popular
ABC,2019,80.61162249247234,1325172.619047619,284.5227662472491,15.387857095238092,17342.818725396843,Health Care,not_popular
ABC,2020,90.66706692442602,1543378.231292517,377.5818160737584,31.969455877551034,18796.017212925162,Health Care,not_popular
ABMD,2018,363.45219145275297,638222.8571428572,2072.4349319490893,17.71676182857143,16330.49821619047,Health Care,not_popular
ABMD,2019,248.76368985857283,662343.6507936508,3229.8837729630914,15.387857095238092,11237.005517460333,Health Care,not_popular
ABMD,2020,198.07197300917437,677323.8095238095,3007.373549781791,31.969455877551034,8921.878062585032,Health Care,not_popular
ABT,2018,66.59016396658761,6330851.428571428,3706.898782748049,17.71676182857143,120921.77563619045,Health Care,not_popular
ABT,2019,78.80636200072273,5177913.492063492,5106.41912810683,15.387857095238092,142025.50372182543,Health Care,not_popular
ABT,2020,87.63854482222577,7881140.816326531,22001.097836662535,31.969455877551034,156256.9588442177,Health Care,not_popular
ACN,2018,156.45134669712613,2268441.904761905,1485.14535000929,17.71676182857143,103608.75083047619,Information Technology,not_popular
ACN,2019,177.7760137527708,1861894.4444444445,1491.4056182749184,15.387857095238092,115836.74643412704,Information Technology,not_popular
ACN,2020,193.44613948484667,2640902.7210884355,3535.4890032096237,31.969455877551034,124426.1751639456,Information Technology,not_popular
ADBE,2018,248.97904750279017,3809680.9523809524,13247.118990152356,17.71676182857143,121682.48651619046,Information Technology,not_popular
ADBE,2019,279.322818150596,2661457.9365079366,12200.18096821795,15.387857095238092,135825.8938654761,Information Technology,not_popular
ADBE,2020,369.27421808567175,3276342.8571428573,15916.959843198372,31.969455877551034,177889.92026870744,Information Technology,not_popular
ADI,2018,86.42217276436942,3191946.6666666665,877.0161566332218,17.71676182857143,33447.92711047618,Information Technology,not_popular
ADI,2019,105.91226238674588,2491868.6507936507,813.7655554183677,15.387857095238092,40142.58016309521,Information Technology,not_popular
ADI,2020,109.70102214164474,2952318.3673469387,1348.664174958536,31.969455877551034,40833.749199319725,Information Technology,not_popular
ADM,2018,44.532114955357144,3584296.1904761903,1173.4734740802674,17.71676182857143,26858.89851619046,Consumer Staples,not_popular
ADM,2019,39.58537657298739,3383305.1587301586,2156.152109097567,15.387857095238092,23271.09800793652,Consumer Staples,not_popular
ADM,2020,38.47839875772697,3216868.707482993,3526.7242707246737,31.969455877551034,21920.95328095238,Consumer Staples,not_popular
ADP,2018,135.97445286342077,2196254.285714286,950.5106586770721,17.71676182857143,62295.107715238126,Information Technology,not_popular
ADP,2019,155.05363191877092,1910641.2698412698,1089.5254996447059,15.387857095238092,69457.63059722223,Information Technology,not_popular
ADP,2020,149.1120516199644,2477045.5782312923,1864.6502125914333,31.969455877551034,65140.27509727888,Information Technology,not_popular
ADSK,2018,138.98533339727493,2207530.476190476,2154.89151639725,17.71676182857143,30407.314503809524,Information Technology,not_popular
ADSK,2019,158.89317506457132,1786284.9206349207,2599.1699472166474,15.387857095238092,34885.62173650793,Information Technology,not_popular
ADSK,2020,197.41306133659518,1878240.1360544218,3583.976374891635,31.969455877551034,43341.32757687074,Information Technology,not_popular
AEE,2018,62.19193329584031,1544364.761904762,196.90728493125224,17.71676182857143,15985.936669523817,Utilities,not_popular
AEE,2019,71.68368151831248,1483366.6666666667,247.2495910836432,15.387857095238092,18180.957078968273,Utilities,not_popular
AEE,2020,75.0355097971806,1863304.081632653,443.18469088482595,31.969455877551034,18735.690389795924,Utilities,not_popular
AEP,2018,68.65531921386719,2599972.380952381,681.7842344853213,17.71676182857143,36308.14316571428,Utilities,not_popular
